,is_good_result,title_length,is_published_in_week_end,days_since_publish_date,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
7114,ViewsResult.MEDIUM,64,False,742,False,False,10,11,28.0,21551.0,895.0,1965.0,False,False,0.521749194749951,0.16666666666666666,5.448498314583645,0.7478157494073848,0.2722222222222222,7.2936901806296754,0.862270724580822,0.33055555555555555,4.548979380179612,101.07437244546905,93.21956790123457,6.178428288000847,False
7115,ViewsResult.POOR,56,False,741,False,False,9,10,17.0,4825.0,73.0,513.0,False,False,1.9761775673703457,1.85,6.00202743529301,2.661447438732504,1.8944444444444444,7.838949446879897,3.9289170122170933,2.216666666666667,6.784597858539772,86.32433207083065,93.32608024691359,7.068965111447077,False
7116,ViewsResult.POOR,98,False,742,False,False,8,18,17.0,3213.0,227.0,1149.0,False,False,0.5792116289501715,0.225,5.958103228977075,0.6862348066635379,0.2861111111111111,7.725045796404025,0.7007711801391238,0.29444444444444445,5.944125334150113,67.14307298052013,64.14033950617285,6.790855990889938,False
7117,ViewsResult.MEDIUM,25,False,742,False,False,8,5,10.0,379979.0,6460.0,62189.0,False,False,0.0,0.0,5.098177386231163,0.0,0.0,7.4253611645384225,0.0,0.0,4.247493724096545,68.99697685600617,52.158580246913566,5.901825607324736,False
7118,ViewsResult.GOOD,48,True,743,True,False,10,10,26.0,75605.0,1863.0,8244.0,False,False,1.7087194685559777,1.05,5.848117300937036,1.901680543332368,1.3166666666666669,7.518343178978619,2.10680115604466,1.35,6.564119937284166,96.74681075394614,111.52904320987656,6.8708341513799285,False
7119,ViewsResult.MEDIUM,32,False,742,False,True,6,6,23.0,12974.0,731.0,960.0,False,False,0.0,0.0,5.912658611256129,0.628539361054709,0.2222222222222222,6.9020946879091625,0.628539361054709,0.2222222222222222,4.794295176545747,103.81512602175181,153.8612962962963,6.218490137051124,False
7120,ViewsResult.POOR,55,True,744,False,False,8,10,25.0,18787.0,30034.0,31656.0,False,False,1.6786237749352229,0.9333333333333332,5.8856677433034195,0.7813361063659552,0.6083333333333333,7.038742480086273,0.8626509529738355,0.65,5.980985813537602,70.07289377621348,104.11898148148147,6.591360103729942,False
7121,ViewsResult.POOR,59,True,744,False,False,11,9,26.0,54464.0,818.0,4471.0,False,False,1.5901291779189313,1.4305555555555556,5.7443436667191525,1.772733729735859,1.4138888888888892,7.4294945130094625,2.331465853211528,1.6194444444444445,6.61477356358984,89.97107019412115,87.12783950617283,6.702597282708641,False
7122,ViewsResult.POOR,21,True,743,False,False,7,4,24.0,29890.0,330.0,3621.0,False,False,1.1902088985645427,0.425,6.0933227972614254,1.3820917006971003,0.4694444444444445,7.744371700840478,1.964497783966649,0.6138888888888889,6.2113190918042775,84.2931480197403,94.7049074074074,6.8431667069600595,False
7123,ViewsResult.POOR,44,True,744,False,False,11,6,27.0,10271.0,428.0,479.0,False,False,2.106398248253856,1.9555555555555555,5.820216835458195,1.7538295840464495,1.5861111111111108,7.782604693549175,1.7553797380314489,1.3444444444444446,6.545741785588689,84.75057537906945,96.5575,6.951412863177903,False
7124,ViewsResult.MEDIUM,69,False,745,True,False,9,12,24.0,41275.0,1699.0,2782.0,False,False,1.8822083660778195,1.4583333333333333,6.247916603966639,1.5554538657237835,1.2472222222222222,7.849537260841743,2.5553079590202232,2.3388888888888895,6.513826710409338,80.41501009535395,89.12086419753086,7.099245733630988,False
7125,ViewsResult.GOOD,60,True,744,False,False,14,9,17.0,41716.0,1397.0,2872.0,False,False,1.4480483886260391,1.1305555555555555,6.129677834126043,1.8302984139070373,1.3027777777777778,7.630704461747611,2.6466246264969744,1.5805555555555555,6.063818522149925,64.7645788982363,59.43061728395062,6.79274344063812,False
